Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AvailableRenewable_MW,NonAI_IT_Load_MW,DemandResponseLevel,DataPeriod
53,RegionA,Valley,476.7,0.0,0.6618,877.65,365.62,Medium,Main_0_2399
54,RegionA,Valley,476.63,0.0,0.6496,950.0,363.447333,Medium,Main_0_2399
55,RegionA,Flat,733.16,0.0,0.6364,1012.13,384.070667,Medium,Main_0_2399
56,RegionA,Flat,733.03,0.0,0.6233,1059.81,395.708,Medium,Main_0_2399
57,RegionA,Flat,732.89,0.0,0.6109,1089.78,394.839,Medium,Main_0_2399
58,RegionA,Flat,732.74,0.0,0.6003,1100.0,393.742,Medium,Main_0_2399
59,RegionA,Flat,732.57,0.0,0.592,1089.78,355.772667,Medium,Main_0_2399
60,RegionA,Flat,732.39,0.0,0.5866,1059.81,342.323333,Medium,Main_0_2399
61,RegionA,Flat,732.19,0.0,0.5845,1012.13,339.249667,Medium,Main_0_2399
62,RegionA,Flat,731.99,0.0,0.5857,950.0,308.241,Low,Main_0_2399
63,RegionA,Flat,731.77,0.0,0.5902,877.65,286.419667,Low,Main_0_2399
64,RegionA,Flat,731.55,0.0,0.5976,800.0,236.52,Low,Main_0_2399
65,RegionA,Peak,1060.4,0.0,0.6073,722.35,239.890667,Medium,Main_0_2399
66,RegionA,Peak,1060.05,0.0,0.6188,650.0,209.495333,Medium,Main_0_2399
67,RegionA,Peak,1059.68,0.0,0.631,587.87,168.972,Medium,Main_0_2399
68,RegionA,Peak,1059.29,0.0,0.6433,540.19,228.786667,Medium,Main_0_2399
69,RegionA,Peak,1058.9,0.0,0.6547,510.22,211.915,Medium,Main_0_2399
70,RegionA,Flat,656.99,0.0,0.6644,500.0,227.495333,Low,Main_0_2399
71,RegionA,Flat,656.73,0.0,0.6716,510.22,318.438667,Medium,Main_0_2399
72,RegionA,Valley,474.12,0.0,0.676,540.19,302.842667,Medium,Main_0_2399
73,RegionA,Valley,473.92,0.0,0.677,587.87,361.522,Medium,Main_0_2399
74,RegionA,Valley,473.72,0.0,0.6747,650.0,371.458667,Medium,Main_0_2399
75,RegionA,Valley,473.51,0.0,0.6691,722.35,377.1,Medium,Main_0_2399
76,RegionA,Valley,473.31,0.0,0.6606,800.0,385.21,Medium,Main_0_2399
77,RegionA,Valley,473.1,0.0,0.6496,877.65,373.84,Medium,Main_0_2399
78,RegionA,Valley,472.88,0.0,0.637,950.0,372.316667,Medium,Main_0_2399
79,RegionA,Flat,727.18,0.0,0.6235,1012.13,371.395333,Medium,Main_0_2399
80,RegionA,Flat,726.85,0.0,0.6099,1059.81,381.298667,Medium,Main_0_2399
81,RegionA,Flat,726.51,0.0,0.5973,1089.78,387.717333,Medium,Main_0_2399
82,RegionA,Flat,726.18,0.0,0.5863,1100.0,374.038,Medium,Main_0_2399
83,RegionA,Flat,725.84,0.0,0.5777,1089.78,354.018,Medium,Main_0_2399
84,RegionA,Flat,725.5,0.0,0.5721,1059.81,334.495333,Medium,Main_0_2399
85,RegionA,Flat,725.16,0.0,0.5697,1012.13,307.488667,Medium,Main_0_2399
86,RegionA,Flat,724.82,0.0,0.5707,950.0,275.65,Low,Main_0_2399
87,RegionA,Flat,724.48,0.0,0.575,877.65,256.704,Low,Main_0_2399
88,RegionA,Flat,724.14,0.0,0.5822,800.0,236.548333,Low,Main_0_2399
89,RegionA,Peak,1049.53,0.0,0.5917,722.35,213.708667,Medium,Main_0_2399
90,RegionA,Peak,1049.05,0.0,0.603,650.0,216.545333,Medium,Main_0_2399
91,RegionA,Peak,1048.57,0.0,0.6152,587.87,196.398667,Medium,Main_0_2399
92,RegionA,Peak,1048.1,0.0,0.6274,540.19,223.522,Medium,Main_0_2399
93,RegionA,Peak,1047.64,0.0,0.6387,510.22,242.756,Medium,Main_0_2399
94,RegionA,Flat,649.97,0.0,0.6483,500.0,259.392,Low,Main_0_2399
95,RegionA,Flat,649.7,0.0,0.6555,510.22,323.515667,Low,Main_0_2399
96,RegionA,Valley,469.03,0.0,0.6598,540.19,335.832667,Medium,Main_0_2399
97,RegionA,Valley,468.83,0.0,0.6609,587.87,389.929333,Medium,Main_0_2399
98,RegionA,Valley,468.65,0.0,0.6586,650.0,368.268333,Medium,Main_0_2399
99,RegionA,Valley,468.46,0.0,0.6531,722.35,389.356,Medium,Main_0_2399
100,RegionA,Valley,468.28,0.0,0.6446,800.0,392.170333,Medium,Main_0_2399
101,RegionA,Valley,468.11,0.0,0.6338,877.65,392.081333,Medium,Main_0_2399
102,RegionA,Valley,467.95,0.0,0.6212,950.0,363.382667,Medium,Main_0_2399
103,RegionA,Flat,719.67,0.0,0.6079,1012.13,363.722333,Medium,Main_0_2399
104,RegionA,Flat,719.43,0.0,0.5945,1059.81,364.392,Medium,Main_0_2399
105,RegionA,Flat,719.2,0.0,0.582,1089.78,362.781333,Medium,Main_0_2399
106,RegionA,Flat,718.99,0.0,0.5713,1100.0,372.284333,Medium,Main_0_2399
107,RegionA,Flat,718.78,0.0,0.5629,1089.78,384.015667,Medium,Main_0_2399
108,RegionA,Flat,718.59,0.0,0.5575,1059.81,342.648,Medium,Main_0_2399
109,RegionA,Flat,718.4,0.0,0.5554,1012.13,325.478667,Medium,Main_0_2399
110,RegionA,Flat,718.23,0.0,0.5567,950.0,281.095,Low,Main_0_2399
111,RegionA,Flat,718.08,0.0,0.5613,877.65,272.895333,Low,Main_0_2399
112,RegionA,Flat,717.93,0.0,0.5688,800.0,228.568667,Low,Main_0_2399
113,RegionA,Peak,1040.81,0.0,0.5788,722.35,222.519333,Medium,Main_0_2399
114,RegionA,Peak,1040.64,0.0,0.5904,650.0,224.428333,Medium,Main_0_2399
115,RegionA,Peak,1040.48,0.0,0.603,587.87,245.3,Medium,Main_0_2399
116,RegionA,Peak,1040.35,0.0,0.6155,540.19,208.359667,Medium,Main_0_2399
117,RegionA,Peak,1040.24,0.0,0.6272,510.22,243.404,Medium,Main_0_2399
118,RegionA,Flat,645.61,0.0,0.6373,500.0,291.925,Low,Main_0_2399
119,RegionA,Flat,645.56,0.0,0.645,510.22,311.327333,Medium,Main_0_2399
120,RegionA,Valley,466.22,0.0,0.6498,540.19,306.666,Medium,Main_0_2399
121,RegionA,Valley,466.2,0.0,0.6513,587.87,358.344667,Medium,Main_0_2399
122,RegionA,Valley,466.2,0.0,0.6495,650.0,376.662333,Medium,Main_0_2399
123,RegionA,Valley,466.21,0.0,0.6445,722.35,378.057333,Medium,Main_0_2399
124,RegionA,Valley,466.22,0.0,0.6365,800.0,381.421667,Medium,Main_0_2399
125,RegionA,Valley,466.25,0.0,0.6262,877.65,387.876,Medium,Main_0_2399
126,RegionA,Valley,466.29,0.0,0.6142,950.0,386.666667,Medium,Main_0_2399
127,RegionA,Flat,717.43,0.0,0.6014,1012.13,389.185333,Medium,Main_0_2399
128,RegionA,Flat,717.52,0.0,0.5886,1059.81,392.532,Medium,Main_0_2399
129,RegionA,Flat,717.62,0.0,0.5767,1089.78,394.724,Medium,Main_0_2399
130,RegionA,Flat,717.73,0.0,0.5665,1100.0,395.056,Medium,Main_0_2399
131,RegionA,Flat,717.86,0.0,0.5588,1089.78,394.084667,Medium,Main_0_2399
132,RegionA,Flat,718.01,0.0,0.554,1059.81,354.341333,Medium,Main_0_2399
133,RegionA,Flat,718.17,0.0,0.5524,1012.13,341.941667,Medium,Main_0_2399
134,RegionA,Flat,718.34,0.0,0.5543,950.0,306.775333,Low,Main_0_2399
135,RegionA,Flat,718.53,0.0,0.5595,877.65,280.622,Low,Main_0_2399
136,RegionA,Flat,718.73,0.0,0.5676,800.0,214.743333,Low,Main_0_2399
137,RegionA,Peak,1042.47,0.0,0.5782,722.35,212.364667,Medium,Main_0_2399
138,RegionA,Peak,1042.81,0.0,0.5904,650.0,206.013333,Medium,Main_0_2399
139,RegionA,Peak,1043.16,0.0,0.6036,587.87,199.123333,Medium,Main_0_2399
140,RegionA,Peak,1043.53,0.0,0.6167,540.19,189.285333,Medium,Main_0_2399
141,RegionA,Peak,1043.92,0.0,0.6291,510.22,253.160667,Medium,Main_0_2399
142,RegionA,Flat,648.21,0.0,0.6397,500.0,286.014667,Low,Main_0_2399
143,RegionA,Flat,648.47,0.0,0.648,510.22,318.133333,Low,Main_0_2399
144,RegionA,Valley,468.54,0.0,0.6534,540.19,336.998,Medium,Main_0_2399
145,RegionA,Valley,468.75,0.0,0.6555,587.87,350.883667,Medium,Main_0_2399
146,RegionA,Valley,468.96,0.0,0.6543,650.0,391.932,Medium,Main_0_2399
147,RegionA,Valley,469.19,0.0,0.6498,722.35,394.537667,Medium,Main_0_2399
148,RegionA,Valley,469.41,0.0,0.6424,800.0,369.178,Medium,Main_0_2399
149,RegionA,Valley,469.65,0.0,0.6327,877.65,371.296,Medium,Main_0_2399
150,RegionA,Valley,469.89,0.0,0.6212,950.0,348.436333,Medium,Main_0_2399
151,RegionA,Flat,723.29,0.0,0.609,1012.13,366.450667,Medium,Main_0_2399
152,RegionA,Flat,723.68,0.0,0.5967,1059.81,364.145,Medium,Main_0_2399
153,RegionA,Flat,724.08,0.0,0.5853,1089.78,362.887333,Medium,Main_0_2399
154,RegionA,Flat,724.49,0.0,0.5756,1100.0,362.026667,Medium,Main_0_2399
155,RegionA,Flat,724.9,0.0,0.5684,1089.78,335.084,Medium,Main_0_2399
156,RegionA,Flat,725.32,0.0,0.564,1059.81,294.420667,Low,Main_0_2399
157,RegionA,Flat,725.75,0.0,0.563,1012.13,300.667333,Medium,Main_0_2399
158,RegionA,Flat,726.18,0.0,0.5653,950.0,298.799667,Low,Main_0_2399
159,RegionA,Flat,726.62,0.0,0.5709,877.65,267.128,Low,Main_0_2399
160,RegionA,Flat,727.07,0.0,0.5794,800.0,263.229333,Low,Main_0_2399
161,RegionA,Peak,1054.9,0.0,0.5904,722.35,207.14,Medium,Main_0_2399
162,RegionA,Peak,1055.55,0.0,0.603,650.0,229.25,Medium,Main_0_2399
163,RegionA,Peak,1056.21,0.0,0.6165,587.87,179.008333,Medium,Main_0_2399
164,RegionA,Peak,1056.88,0.0,0.6301,540.19,199.314667,Medium,Main_0_2399
165,RegionA,Peak,1057.54,0.0,0.6427,510.22,187.963,Medium,Main_0_2399
166,RegionA,Flat,656.82,0.0,0.6537,500.0,266.513333,Low,Main_0_2399
167,RegionA,Flat,657.24,0.0,0.6623,510.22,309.352,Low,Main_0_2399
168,RegionA,Valley,474.97,0.0,0.6679,540.19,301.320667,Low,Main_0_2399
169,RegionA,Valley,475.28,0.0,0.6703,587.87,360.523333,Medium,Main_0_2399
170,RegionA,Valley,475.58,0.0,0.6693,650.0,368.431667,Medium,Main_0_2399
171,RegionA,Valley,475.88,0.0,0.665,722.35,374.043,Medium,Main_0_2399
172,RegionA,Valley,476.18,0.0,0.6578,800.0,374.178333,Medium,Main_0_2399
173,RegionA,Valley,476.47,0.0,0.6483,877.65,376.617667,Medium,Main_0_2399
174,RegionA,Valley,476.77,0.0,0.637,950.0,383.521,Medium,Main_0_2399
175,RegionA,Flat,733.94,0.0,0.6248,1012.13,358.006667,Medium,Main_0_2399
176,RegionA,Flat,734.39,0.0,0.6126,1059.81,364.669333,Medium,Main_0_2399
177,RegionA,Flat,734.83,0.0,0.6013,1089.78,364.26,Medium,Main_0_2399
178,RegionA,Flat,735.27,0.0,0.5917,1100.0,364.965333,Medium,Main_0_2399
179,RegionA,Flat,735.7,0.0,0.5845,1089.78,366.046,Medium,Main_0_2399
180,RegionA,Flat,736.13,0.0,0.5802,1059.81,315.633,Medium,Main_0_2399
181,RegionA,Flat,736.55,0.0,0.5791,1012.13,317.99,Low,Main_0_2399
182,RegionA,Flat,736.96,0.0,0.5814,950.0,303.750333,Low,Main_0_2399
183,RegionA,Flat,737.36,0.0,0.5869,877.65,278.432333,Low,Main_0_2399
184,RegionA,Flat,737.76,0.0,0.5954,800.0,201.404,Low,Main_0_2399
185,RegionA,Peak,1070.31,0.0,0.6062,722.35,200.586667,Medium,Main_0_2399
186,RegionA,Peak,1070.86,0.0,0.6188,650.0,208.206333,Medium,Main_0_2399
187,RegionA,Peak,1071.4,0.0,0.6321,587.87,230.37,Medium,Main_0_2399
188,RegionA,Peak,1071.92,0.0,0.6455,540.19,237.691333,Medium,Main_0_2399
189,RegionA,Peak,1072.42,0.0,0.658,510.22,256.834333,Medium,Main_0_2399
190,RegionA,Flat,665.95,0.0,0.6687,500.0,257.145,Low,Main_0_2399
191,RegionA,Flat,666.24,0.0,0.6771,510.22,286.893333,Low,Main_0_2399
192,RegionA,Valley,481.38,0.0,0.6825,540.19,314.342,Medium,Main_0_2399
193,RegionA,Valley,481.58,0.0,0.6846,587.87,344.3,Medium,Main_0_2399
194,RegionA,Valley,481.77,0.0,0.6833,650.0,379.875,Medium,Main_0_2399
195,RegionA,Valley,481.95,0.0,0.6787,722.35,382.506667,Medium,Main_0_2399
196,RegionA,Valley,482.12,0.0,0.6712,800.0,391.991667,Medium,Main_0_2399
197,RegionA,Valley,482.28,0.0,0.6612,877.65,395.465333,Medium,Main_0_2399
198,RegionA,Valley,482.44,0.0,0.6496,950.0,399.517333,Medium,Main_0_2399
199,RegionA,Flat,742.44,0.0,0.637,1012.13,400.242667,Medium,Main_0_2399
200,RegionA,Flat,742.65,0.0,0.6245,1059.81,401.02,Medium,Main_0_2399
201,RegionA,Flat,742.85,0.0,0.6128,1089.78,399.832,Medium,Main_0_2399
202,RegionA,Flat,743.03,0.0,0.6027,1100.0,370.87,Medium,Main_0_2399
203,RegionA,Flat,743.2,0.0,0.595,1089.78,326.685333,Medium,Main_0_2399
204,RegionA,Flat,743.36,0.0,0.5902,1059.81,331.433333,Medium,Main_0_2399
205,RegionA,Flat,743.5,0.0,0.5887,1012.13,286.334,Low,Main_0_2399
206,RegionA,Flat,743.62,0.0,0.5905,950.0,292.272,Low,Main_0_2399
207,RegionA,Flat,743.73,0.0,0.5955,877.65,303.764,Low,Main_0_2399
208,RegionA,Flat,743.82,0.0,0.6035,800.0,234.051667,Low,Main_0_2399
209,RegionA,Peak,1078.66,0.0,0.6138,722.35,204.950667,Medium,Main_0_2399
210,RegionA,Peak,1078.75,0.0,0.6258,650.0,210.022,Medium,Main_0_2399
211,RegionA,Peak,1078.82,0.0,0.6386,587.87,222.614,Medium,Main_0_2399
212,RegionA,Peak,1078.87,0.0,0.6514,540.19,245.026,Medium,Main_0_2399
213,RegionA,Peak,1078.9,0.0,0.6633,510.22,216.904667,Medium,Main_0_2399
214,RegionA,Flat,669.66,0.0,0.6735,500.0,256.198667,Low,Main_0_2399
215,RegionA,Flat,669.65,0.0,0.6812,510.22,315.28,Low,Main_0_2399
216,RegionA,Valley,483.62,0.0,0.686,540.19,323.489333,Low,Main_0_2399
217,RegionA,Valley,483.59,0.0,0.6876,587.87,340.709333,Medium,Main_0_2399
218,RegionA,Valley,483.56,0.0,0.6857,650.0,381.258,Medium,Main_0_2399
219,RegionA,Valley,483.51,0.0,0.6805,722.35,381.146333,Medium,Main_0_2399
220,RegionA,Valley,483.46,0.0,0.6724,800.0,388.731,Medium,Main_0_2399
221,RegionA,Valley,483.39,0.0,0.6618,877.65,383.076,Medium,Main_0_2399
222,RegionA,Valley,483.32,0.0,0.6496,950.0,392.929333,Medium,Main_0_2399
223,RegionA,Flat,743.44,0.0,0.6364,1012.13,392.190667,Medium,Main_0_2399
224,RegionA,Flat,743.3,0.0,0.6233,1059.81,386.408667,Medium,Main_0_2399
225,RegionA,Flat,743.14,0.0,0.6109,1089.78,375.364,Medium,Main_0_2399
226,RegionA,Flat,742.98,0.0,0.6003,1100.0,376.062667,Medium,Main_0_2399
227,RegionA,Flat,742.8,0.0,0.592,1089.78,335.068667,Medium,Main_0_2399
228,RegionA,Flat,742.61,0.0,0.5866,1059.81,302.601333,Medium,Main_0_2399
229,RegionA,Flat,742.41,0.0,0.5845,1012.13,279.775333,Low,Main_0_2399
230,RegionA,Flat,742.19,0.0,0.5857,950.0,280.554667,Low,Main_0_2399
231,RegionA,Flat,741.96,0.0,0.5902,877.65,260.222333,Low,Main_0_2399
232,RegionA,Flat,741.73,0.0,0.5976,800.0,205.635333,Low,Main_0_2399
233,RegionA,Peak,1075.15,0.0,0.6073,722.35,196.993333,Medium,Main_0_2399
234,RegionA,Peak,1074.77,0.0,0.6188,650.0,223.391,Medium,Main_0_2399
235,RegionA,Peak,1074.39,0.0,0.631,587.87,215.355,Medium,Main_0_2399
236,RegionA,Peak,1073.99,0.0,0.6433,540.19,232.513333,Medium,Main_0_2399
237,RegionA,Peak,1073.58,0.0,0.6547,510.22,250.440667,Medium,Main_0_2399
238,RegionA,Flat,666.09,0.0,0.6644,500.0,222.046667,Low,Main_0_2399
239,RegionA,Flat,665.82,0.0,0.6716,510.22,308.269667,Low,Main_0_2399
240,RegionA,Valley,480.67,0.0,0.676,540.19,309.179333,Low,Main_0_2399
241,RegionA,Valley,480.47,0.0,0.677,587.87,354.349333,Medium,Main_0_2399
242,RegionA,Valley,480.26,0.0,0.6747,650.0,382.230667,Medium,Main_0_2399
243,RegionA,Valley,480.05,0.0,0.6691,722.35,398.628,Medium,Main_0_2399
244,RegionA,Valley,479.84,0.0,0.6606,800.0,395.651667,Medium,Main_0_2399
245,RegionA,Valley,479.62,0.0,0.6496,877.65,366.198667,Medium,Main_0_2399
246,RegionA,Valley,479.4,0.0,0.637,950.0,366.036667,Medium,Main_0_2399
247,RegionA,Flat,737.19,0.0,0.6235,1012.13,366.805,Medium,Main_0_2399
248,RegionA,Flat,736.85,0.0,0.6099,1059.81,367.677333,Medium,Main_0_2399
249,RegionA,Flat,736.5,0.0,0.5973,1089.78,374.225333,Medium,Main_0_2399
250,RegionA,Flat,736.15,0.0,0.5863,1100.0,390.571333,Medium,Main_0_2399
251,RegionA,Flat,735.8,0.0,0.5777,1089.78,381.952667,Medium,Main_0_2399
252,RegionA,Flat,735.45,0.0,0.5721,1059.81,315.969,Low,Main_0_2399
253,RegionA,Flat,735.09,0.0,0.5697,1012.13,320.505333,Medium,Main_0_2399
254,RegionA,Flat,734.74,0.0,0.5707,950.0,299.913333,Low,Main_0_2399
255,RegionA,Flat,734.39,0.0,0.575,877.65,232.569,Low,Main_0_2399
256,RegionA,Flat,734.04,0.0,0.5822,800.0,193.216333,Low,Main_0_2399
257,RegionA,Peak,1063.86,0.0,0.5917,722.35,175.703,Medium,Main_0_2399
258,RegionA,Peak,1063.36,0.0,0.603,650.0,206.829333,Medium,Main_0_2399
259,RegionA,Peak,1062.87,0.0,0.6152,587.87,205.872667,Medium,Main_0_2399
260,RegionA,Peak,1062.38,0.0,0.6274,540.19,197.48,Medium,Main_0_2399
261,RegionA,Peak,1061.9,0.0,0.6387,510.22,217.264667,Medium,Main_0_2399
262,RegionA,Flat,658.81,0.0,0.6483,500.0,223.122667,Low,Main_0_2399
263,RegionA,Flat,658.52,0.0,0.6555,510.22,285.574667,Medium,Main_0_2399
264,RegionA,Valley,475.4,0.0,0.6598,540.19,317.621333,Medium,Main_0_2399
265,RegionA,Valley,475.19,0.0,0.6609,587.87,381.581667,Medium,Main_0_2399
266,RegionA,Valley,475.0,0.0,0.6586,650.0,384.461333,Medium,Main_0_2399
267,RegionA,Valley,474.8,0.0,0.6531,722.35,384.833333,Medium,Main_0_2399
268,RegionA,Valley,474.62,0.0,0.6446,800.0,386.665333,Medium,Main_0_2399
269,RegionA,Valley,474.44,0.0,0.6338,877.65,387.582667,Medium,Main_0_2399
270,RegionA,Valley,474.26,0.0,0.6212,950.0,386.625333,Medium,Main_0_2399
271,RegionA,Flat,729.37,0.0,0.6079,1012.13,393.817333,Medium,Main_0_2399
272,RegionA,Flat,729.12,0.0,0.5945,1059.81,394.658667,Medium,Main_0_2399
273,RegionA,Flat,728.88,0.0,0.582,1089.78,390.28,Medium,Main_0_2399
274,RegionA,Flat,728.65,0.0,0.5713,1100.0,388.297333,Medium,Main_0_2399
275,RegionA,Flat,728.43,0.0,0.5629,1089.78,362.038667,Medium,Main_0_2399
276,RegionA,Flat,728.22,0.0,0.5575,1059.81,329.714333,Medium,Main_0_2399
277,RegionA,Flat,728.02,0.0,0.5554,1012.13,323.359,Medium,Main_0_2399
278,RegionA,Flat,727.84,0.0,0.5567,950.0,306.099,Low,Main_0_2399
279,RegionA,Flat,727.67,0.0,0.5613,877.65,251.381667,Low,Main_0_2399
280,RegionA,Flat,727.51,0.0,0.5688,800.0,220.302,Low,Main_0_2399
281,RegionA,Peak,1054.68,0.0,0.5788,722.35,192.166,Medium,Main_0_2399
282,RegionA,Peak,1054.48,0.0,0.5904,650.0,168.978,Medium,Main_0_2399
283,RegionA,Peak,1054.31,0.0,0.603,587.87,192.523,Medium,Main_0_2399
284,RegionA,Peak,1054.16,0.0,0.6155,540.19,205.011333,Medium,Main_0_2399
285,RegionA,Peak,1054.02,0.0,0.6272,510.22,251.050333,Medium,Main_0_2399
286,RegionA,Flat,654.15,0.0,0.6373,500.0,281.472667,Low,Main_0_2399
287,RegionA,Flat,654.09,0.0,0.645,510.22,278.236667,Low,Main_0_2399
288,RegionA,Valley,472.37,0.0,0.6498,540.19,346.611333,Medium,Main_0_2399
289,RegionA,Valley,472.35,0.0,0.6513,587.87,340.166667,Medium,Main_0_2399
290,RegionA,Valley,472.33,0.0,0.6495,650.0,393.109,Medium,Main_0_2399
291,RegionA,Valley,472.33,0.0,0.6445,722.35,392.524,Medium,Main_0_2399
292,RegionA,Valley,472.34,0.0,0.6365,800.0,392.229333,Medium,Main_0_2399
293,RegionA,Valley,472.35,0.0,0.6262,877.65,392.061333,Medium,Main_0_2399
294,RegionA,Valley,472.38,0.0,0.6142,950.0,395.213333,Medium,Main_0_2399
295,RegionA,Flat,726.79,0.0,0.6014,1012.13,389.913333,Medium,Main_0_2399
296,RegionA,Flat,726.86,0.0,0.5886,1059.81,380.308,Medium,Main_0_2399
297,RegionA,Flat,726.95,0.0,0.5767,1089.78,376.555,Medium,Main_0_2399
298,RegionA,Flat,727.05,0.0,0.5665,1100.0,387.247,Medium,Main_0_2399
299,RegionA,Flat,727.16,0.0,0.5588,1089.78,366.946333,Medium,Main_0_2399
300,RegionA,Flat,727.29,0.0,0.554,1059.81,365.871333,Medium,Main_0_2399
301,RegionA,Flat,727.43,0.0,0.5524,1012.13,331.969333,Medium,Main_0_2399
302,RegionA,Flat,727.59,0.0,0.5543,950.0,305.293,Low,Main_0_2399
303,RegionA,Flat,727.76,0.0,0.5595,877.65,289.097,Low,Main_0_2399
304,RegionA,Flat,727.95,0.0,0.5676,800.0,239.390667,Low,Main_0_2399
305,RegionA,Peak,1055.82,0.0,0.5782,722.35,209.308667,Medium,Main_0_2399
306,RegionA,Peak,1056.13,0.0,0.5904,650.0,230.977333,Medium,Main_0_2399
