Hour,Region,AITrainingPower_MW,GPU_Utilization_Percent,UsedRenewable_MW,RenewableCharge_MW,Curtailment_MW,IT_Load_MW,Total_Load_MW,GridPurchase_MW,GridCharge_MW,GridSell_MW,NetGridImport_MW,CarbonEmission_tCO2,SOC_MWh,ChargePower_MW,DischargePower_MW,Baseline_AI_IT_Load_MW
74,RegionA,19.2,39.814815,65.3184,0.0,584.6816,403.2,544.32,486.701,7.6994,0.0,486.701,328.3772,350.0,7.6994,0.0,31.7413333333
75,RegionA,19.2,30.666667,65.3184,0.0,657.0316,403.2,544.32,479.0016,0.0,0.0,479.0016,320.5,350.0,0.0,0.0,26.1
76,RegionA,12.8,21.60582,65.3184,0.0,734.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,316.4285,350.0,0.0,0.0,17.99
77,RegionA,18.72,36.388889,65.3184,0.0,812.3316,403.2,544.32,479.0016,0.0,0.0,479.0016,311.1594,350.0,0.0,0.0,29.36
78,RegionA,18.72,39.071429,65.3184,0.0,884.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,305.124,350.0,0.0,0.0,30.8833333333
79,RegionA,18.72,40.502646,65.3184,0.0,946.8116,403.2,544.32,479.0016,0.0,0.0,479.0016,298.6575,350.0,0.0,0.0,31.8046666667
80,RegionA,11.16,29.060847,65.3184,0.0,994.4916,403.2,544.32,479.0016,0.0,0.0,479.0016,292.1431,350.0,0.0,0.0,21.9013333333
81,RegionA,0.0,25.703704,69.5448,0.0,1020.2352,403.2,544.32,474.7752,0.0,0.0,474.7752,283.5832,350.0,0.0,0.0,15.4826666667
82,RegionA,14.72,38.529101,73.4832,0.0,1026.5168,403.2,544.32,470.8368,0.0,0.0,470.8368,276.0516,350.0,0.0,0.0,29.162
83,RegionA,22.24,45.589947,74.4708,0.0,1015.3092,390.64,527.364,452.8932,0.0,0.0,452.8932,261.6364,350.0,0.0,0.0,36.622
84,RegionA,22.24,43.740741,72.8819,0.0,986.9281,369.82,499.257,426.3751,0.0,0.0,426.3751,243.9292,350.0,0.0,0.0,35.3246666667
85,RegionA,22.24,40.079365,68.5015,0.0,943.6285,340.6,459.81,391.3085,0.0,0.0,391.3085,222.9285,350.0,0.0,0.0,33.1113333333
86,RegionA,18.7306666667,34.526455,61.5357,0.0,888.4643,303.88,410.238,348.7023,0.0,0.0,348.7023,199.0044,350.0,0.0,0.0,28.23
87,RegionA,14.72,29.15873,56.2895,0.0,821.3605,279.88,377.838,321.5485,0.0,0.0,321.5485,184.8904,350.0,0.0,0.0,23.176
88,RegionA,1.472,16.661376,48.6635,0.0,751.3365,246.93,333.3555,284.692,0.0,0.0,284.692,165.7477,350.0,0.0,0.0,10.3816666667
89,RegionA,0.0,18.582011,42.8382,0.0,679.5118,224.71,303.3585,215.5203,0.0,0.0,215.5203,127.5233,301.087,0.0,45.0,11.0013333333
90,RegionA,0.0,19.253968,41.5293,0.0,608.4707,227.87,307.6245,221.0952,0.0,0.0,221.0952,133.3204,252.1739,0.0,45.0,11.3246666667
91,RegionA,19.2,33.330688,38.5705,0.0,549.2995,223.62,301.887,218.3165,0.0,0.0,218.3165,134.3083,203.2609,0.0,45.0,27.2213333333
92,RegionA,19.2,33.878307,40.7155,0.0,499.4745,251.33,339.2955,253.58,0.0,0.0,253.58,159.0961,154.3478,0.0,45.0,27.808
93,RegionA,19.2,37.793651,44.2163,0.0,466.0037,272.94,368.469,279.2527,0.0,0.0,279.2527,178.3587,105.4348,0.0,45.0,30.184
94,RegionA,19.2,40.690476,47.1339,54.3439,398.5222,290.95,392.7825,345.6486,0.0,0.0,345.6486,224.084,155.9746,54.3439,0.0,31.558
95,RegionA,1.6,19.753968,54.3316,54.7066,401.1818,335.38,452.763,398.4314,0.0,0.0,398.4314,261.1718,206.8518,54.7066,0.0,11.8643333333
96,RegionA,0.0,16.066138,55.8754,55.0,429.3146,344.91,465.6285,427.7531,18.0,0.0,427.7531,282.2315,274.7418,73.0,0.0,9.0773333333
97,RegionA,0.0,22.518519,65.2471,55.0,467.6229,402.76,543.726,496.4789,18.0,0.0,496.4789,328.1229,342.6318,73.0,0.0,12.8306666667
98,RegionA,0.0,23.52381,61.8727,0.0,588.1273,381.93,515.6055,461.6556,7.9228,0.0,461.6556,304.0464,350.0,7.9228,0.0,13.6616666667
99,RegionA,0.0,23.539683,65.3184,0.0,657.0316,403.2,544.32,479.0016,0.0,0.0,479.0016,312.8359,350.0,0.0,0.0,13.844
100,RegionA,0.0,19.044974,65.3184,0.0,734.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,308.7644,350.0,0.0,0.0,11.0296666667
101,RegionA,0.0,19.185185,65.3184,0.0,812.3316,403.2,544.32,479.0016,0.0,0.0,479.0016,303.5912,350.0,0.0,0.0,11.1186666667
102,RegionA,29.44,46.939153,65.3184,0.0,884.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,297.5558,350.0,0.0,0.0,39.8173333333
103,RegionA,29.44,46.021164,65.3184,0.0,946.8116,403.2,544.32,479.0016,0.0,0.0,479.0016,291.1851,350.0,0.0,0.0,39.4776666667
104,RegionA,29.44,44.984127,65.3184,0.0,994.4916,403.2,544.32,479.0016,0.0,0.0,479.0016,284.7665,350.0,0.0,0.0,38.808
105,RegionA,29.44,47.39418,69.5448,0.0,1020.2352,403.2,544.32,474.7752,0.0,0.0,474.7752,276.3192,350.0,0.0,0.0,40.4186666667
106,RegionA,18.0106666667,39.082011,73.4832,0.0,1026.5168,403.2,544.32,470.8368,0.0,0.0,470.8368,268.9891,350.0,0.0,0.0,30.9156666667
107,RegionA,0.0,14.84127,74.9302,0.0,1014.8498,393.05,530.6175,455.6873,0.0,0.0,455.6873,256.5064,350.0,0.0,0.0,9.0343333333
108,RegionA,0.0,12.296296,69.0311,0.0,990.7789,350.28,472.878,403.8469,0.0,0.0,403.8469,225.1447,350.0,0.0,0.0,7.632
109,RegionA,0.0,17.656085,67.6668,0.0,944.4632,336.45,454.2075,386.5407,0.0,0.0,386.5407,214.6847,350.0,0.0,0.0,10.9713333333
110,RegionA,0.0,20.119048,59.4398,0.0,890.5602,293.53,396.2655,336.8257,0.0,0.0,336.8257,187.5109,350.0,0.0,0.0,12.435
111,RegionA,0.0,12.037037,56.3623,0.0,821.2877,280.242,378.3267,321.9644,0.0,0.0,321.9644,180.7186,350.0,0.0,0.0,7.3466666667
112,RegionA,0.0,12.584656,46.5666,0.0,753.4334,236.29,318.9915,272.4249,0.0,0.0,272.4249,154.9553,350.0,0.0,0.0,7.7213333333
113,RegionA,0.0,11.814815,43.7724,0.0,678.5776,229.61,309.9735,221.2011,0.0,0.0,221.2011,128.0312,301.087,0.0,45.0,7.0906666667
114,RegionA,5.92,13.206349,42.7467,0.0,607.2533,234.55,316.6425,228.8958,0.0,0.0,228.8958,135.1401,252.1739,0.0,45.0,10.1216666667
115,RegionA,5.92,11.301587,43.8346,0.0,544.0354,254.14,343.089,254.2544,0.0,0.0,254.2544,153.3154,203.2609,0.0,45.0,8.84
116,RegionA,5.624,11.563492,35.1702,0.0,505.0198,217.1,293.085,212.9148,0.0,0.0,212.9148,131.0491,154.3478,0.0,45.0,8.7403333333
117,RegionA,0.0,7.650794,40.1274,0.0,470.0926,247.7,334.395,249.2676,0.0,0.0,249.2676,156.3406,105.4348,0.0,45.0,4.296
118,RegionA,10.08,22.608466,50.1098,53.9868,395.9033,309.32,417.582,367.4722,0.0,0.0,367.4722,234.19,155.6425,53.9868,0.0,17.395
119,RegionA,28.32,42.828042,56.3841,54.4603,399.3756,348.05,469.8675,413.4834,0.0,0.0,413.4834,266.6968,206.2906,54.4603,0.0,36.7226666667
120,RegionA,28.32,45.206349,55.8916,55.0,429.2984,345.01,465.7635,427.8719,18.0,0.0,427.8719,278.0311,274.1806,73.0,0.0,38.344
121,RegionA,22.272,46.804233,64.0483,55.0,468.8217,395.36,533.736,487.6877,18.0,0.0,487.6877,317.631,342.0706,73.0,0.0,37.0153333333
122,RegionA,8.664,38.378307,65.3184,0.0,584.6816,403.2,544.32,487.5278,8.5262,0.0,487.5278,316.6493,350.0,8.5262,0.0,26.5376666667
123,RegionA,8.16,36.185185,65.3184,0.0,657.0316,403.2,544.32,479.0016,0.0,0.0,479.0016,308.7165,350.0,0.0,0.0,25.1426666667
124,RegionA,2.448,34.81746,65.3184,0.0,734.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,304.8845,350.0,0.0,0.0,21.7783333333
125,RegionA,0.0,25.648148,65.3184,0.0,812.3316,403.2,544.32,479.0016,0.0,0.0,479.0016,299.9508,350.0,0.0,0.0,15.324
126,RegionA,2.88,25.767196,65.3184,0.0,884.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,294.2028,350.0,0.0,0.0,16.5333333333
127,RegionA,2.88,21.716931,65.3184,0.0,946.8116,403.2,544.32,479.0016,0.0,0.0,479.0016,288.0716,350.0,0.0,0.0,14.0146666667
128,RegionA,2.88,16.835979,65.3184,0.0,994.4916,403.2,544.32,479.0016,0.0,0.0,479.0016,281.9403,350.0,0.0,0.0,10.668
129,RegionA,2.88,13.007937,69.5448,0.0,1020.2352,403.2,544.32,474.7752,0.0,0.0,474.7752,273.8029,350.0,0.0,0.0,8.476
130,RegionA,0.24,11.886243,73.2426,0.0,1026.7574,401.88,542.538,469.2954,0.0,0.0,469.2954,265.8558,350.0,0.0,0.0,6.824
131,RegionA,0.0,12.94709,76.4782,0.0,1013.3018,401.17,541.5795,465.1013,0.0,0.0,465.1013,259.8986,350.0,0.0,0.0,7.0853333333
132,RegionA,0.0,13.608466,71.3447,0.0,988.4653,362.02,488.727,417.3823,0.0,0.0,417.3823,231.2298,350.0,0.0,0.0,7.6786666667
133,RegionA,0.0,9.494709,69.8874,0.0,942.2426,347.491,469.1128,399.2254,0.0,0.0,399.2254,220.5321,350.0,0.0,0.0,5.5493333333
134,RegionA,0.0,7.238095,62.9791,0.0,887.0209,311.008,419.8608,356.8817,0.0,0.0,356.8817,197.8195,350.0,0.0,0.0,4.2326666667
135,RegionA,0.0,6.603175,57.1724,0.0,820.4776,284.27,383.7645,326.5921,0.0,0.0,326.5921,182.7283,350.0,0.0,0.0,3.648
136,RegionA,8.32,14.81746,44.6747,0.0,755.3253,226.69,306.0315,261.3568,0.0,0.0,261.3568,148.3461,350.0,0.0,0.0,11.9466666667
137,RegionA,8.32,20.328042,43.4101,0.0,678.9399,227.71,307.4085,218.9984,0.0,0.0,218.9984,126.6249,301.087,0.0,45.0,15.3453333333
138,RegionA,8.32,31.283069,41.6259,0.0,608.3741,228.4,308.34,221.7141,0.0,0.0,221.7141,130.9,252.1739,0.0,45.0,22.3866666667
139,RegionA,8.32,38.227513,38.9723,0.0,548.8977,225.95,305.0325,221.0602,0.0,0.0,221.0602,133.4319,203.2609,0.0,45.0,26.8266666667
140,RegionA,15.8746666667,52.256614,36.8809,0.0,503.3091,227.66,307.341,225.4601,0.0,0.0,225.4601,139.0412,154.3478,0.0,45.0,38.3746666667
141,RegionA,2.496,30.714286,44.226,0.0,465.994,273.0,368.55,279.324,0.0,0.0,279.324,175.7227,105.4348,0.0,45.0,19.8393333333
142,RegionA,4.32,21.534392,48.7296,54.1524,397.118,300.8,406.08,357.3504,0.0,0.0,357.3504,228.5971,155.7966,54.1524,0.0,14.7853333333
143,RegionA,4.32,13.796296,53.1198,54.852,402.2482,327.9,442.665,389.5452,0.0,0.0,389.5452,252.4253,206.8089,54.852,0.0,9.7666666667
144,RegionA,2.16,17.365079,56.3744,55.0,428.8156,347.99,469.7865,431.4121,18.0,0.0,431.4121,281.8847,274.6989,73.0,0.0,10.992
145,RegionA,0.0,16.587302,58.4366,55.0,474.4334,360.72,486.972,446.5354,18.0,0.0,446.5354,292.7039,342.5889,73.0,0.0,9.8363333333
146,RegionA,0.0,18.767196,65.3184,0.0,584.6816,403.2,544.32,486.9705,7.9689,0.0,486.9705,318.6248,350.0,7.9689,0.0,11.268
147,RegionA,0.0,14.962963,65.3184,0.0,657.0316,403.2,544.32,479.0016,0.0,0.0,479.0016,311.2552,350.0,0.0,0.0,8.6623333333
148,RegionA,25.76,39.719577,65.3184,0.0,734.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,307.7106,350.0,0.0,0.0,34.022
149,RegionA,25.76,36.357143,65.3184,0.0,812.3316,403.2,544.32,479.0016,0.0,0.0,479.0016,303.0643,350.0,0.0,0.0,31.904
150,RegionA,50.16,57.859788,65.3184,0.0,884.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,297.5558,350.0,0.0,0.0,54.7636666667
151,RegionA,31.1893333333,40.502646,65.3184,0.0,946.8116,403.2,544.32,479.0016,0.0,0.0,479.0016,291.712,350.0,0.0,0.0,36.7493333333
152,RegionA,30.88,44.722222,65.3184,0.0,994.4916,403.2,544.32,479.0016,0.0,0.0,479.0016,285.8203,350.0,0.0,0.0,39.055
153,RegionA,28.576,48.925926,69.5448,0.0,1020.2352,403.2,544.32,474.7752,0.0,0.0,474.7752,277.8859,350.0,0.0,0.0,40.3126666667
154,RegionA,31.52,48.645503,73.4832,0.0,1026.5168,403.2,544.32,470.8368,0.0,0.0,470.8368,271.0137,350.0,0.0,0.0,41.1733333333
155,RegionA,31.52,47.095238,71.5578,0.0,1018.2222,375.36,506.736,435.1782,0.0,0.0,435.1782,247.3553,350.0,0.0,0.0,40.276
156,RegionA,17.6453333333,31.420635,63.0361,0.0,996.7739,319.86,431.811,368.7749,0.0,0.0,368.7749,207.989,350.0,0.0,0.0,25.4393333333
157,RegionA,25.6,45.002646,67.9774,0.0,944.1526,337.994,456.2919,388.3145,0.0,0.0,388.3145,218.6211,350.0,0.0,0.0,37.3266666667
158,RegionA,14.048,29.439153,65.2903,0.0,884.7097,322.421,435.2684,369.9781,0.0,0.0,369.9781,209.1486,350.0,0.0,0.0,23.6213333333
159,RegionA,13.44,30.039683,58.4897,0.0,819.1603,290.82,392.607,334.1173,0.0,0.0,334.1173,190.7476,350.0,0.0,0.0,23.692
160,RegionA,13.44,30.497354,56.5918,0.0,743.4082,287.16,387.666,331.0742,0.0,0.0,331.0742,191.8244,350.0,0.0,0.0,23.9306666667
161,RegionA,13.44,36.825397,44.7465,0.0,677.6035,234.72,316.872,227.1255,0.0,0.0,227.1255,134.0949,301.087,0.0,45.0,27.58
162,RegionA,13.44,35.396825,46.6104,0.0,603.3896,255.75,345.2625,253.6521,0.0,0.0,253.6521,152.9522,252.1739,0.0,45.0,26.5
163,RegionA,20.384,40.939153,36.4886,0.0,551.3814,211.55,285.5925,204.1039,0.0,0.0,204.1039,125.8301,203.2609,0.0,45.0,32.5416666667
164,RegionA,20.32,44.026455,37.8286,0.0,502.3614,233.51,315.2385,232.4099,0.0,0.0,232.4099,146.4415,154.3478,0.0,45.0,34.1953333333
165,RegionA,16.384,46.484127,35.9883,0.0,474.2317,222.15,299.9025,218.9142,0.0,0.0,218.9142,140.6962,105.4348,0.0,45.0,34.187
166,RegionA,18.6666666667,46.910053,48.937,54.1276,396.9355,302.08,407.808,358.871,0.0,0.0,358.871,234.594,155.7734,54.1276,0.0,35.5666666667
167,RegionA,6.4213333333,33.119048,53.7451,54.777,401.6979,331.76,447.876,394.1309,0.0,0.0,394.1309,261.0329,206.716,54.777,0.0,22.408
168,RegionA,17.12,41.248677,53.9573,55.0,431.2327,333.07,449.6445,413.6872,18.0,0.0,413.6872,276.3017,274.606,73.0,0.0,31.7493333333
169,RegionA,17.12,41.600529,63.6061,55.0,469.2639,392.63,530.0505,484.4444,18.0,0.0,484.4444,324.7231,342.496,73.0,0.0,32.1066666667
