Stage,ForecastOriginHour,Model,Hour,AggregateLevel,AggregateName,Lower95,Lower80,BootstrapMedian,Upper80,Upper95,PointForecast,ActualGPU
validation,2351,direct_mean,2353,Region,RegionC,0.0,5.0,28.0,123.0,167.0,46.261054421768705,67.0
validation,2351,direct_mean,2354,Region,RegionC,0.0,5.0,28.0,123.0,170.0,46.261054421768705,30.0
validation,2351,direct_mean,2355,Region,RegionC,0.0,5.0,27.0,123.0,162.0,46.261054421768705,36.0
validation,2351,direct_mean,2356,Region,RegionC,0.0,5.0,28.0,123.0,165.0,46.261054421768705,27.0
validation,2351,direct_mean,2357,Region,RegionC,0.0,5.0,28.0,123.0,161.0,46.261054421768705,68.0
validation,2351,direct_mean,2358,Region,RegionC,0.0,5.0,28.0,122.0,162.0,46.261054421768705,21.0
validation,2351,direct_mean,2359,Region,RegionC,0.0,5.0,28.0,124.0,171.0,46.261054421768705,37.0
validation,2351,direct_mean,2360,Region,RegionC,0.0,5.0,28.0,123.0,167.0,46.261054421768705,51.0
validation,2351,direct_mean,2361,Region,RegionC,0.0,5.0,28.0,123.0,165.0,46.261054421768705,41.0
validation,2351,direct_mean,2362,Region,RegionC,0.0,4.0,28.0,123.0,167.0,46.261054421768705,8.0
validation,2351,direct_mean,2363,Region,RegionC,0.0,5.0,28.0,123.0,167.0,46.261054421768705,5.0
validation,2351,direct_mean,2364,Region,RegionC,0.0,5.0,28.0,123.0,163.0,46.261054421768705,138.0
validation,2351,direct_mean,2365,Region,RegionC,0.0,5.0,28.0,123.0,162.0,46.261054421768705,29.0
validation,2351,direct_mean,2366,Region,RegionC,0.0,5.0,27.0,122.0,158.0,46.261054421768705,74.0
validation,2351,direct_mean,2367,Region,RegionC,0.0,5.0,28.0,123.0,167.0,46.261054421768705,20.0
validation,2351,direct_mean,2368,Region,RegionC,0.0,5.0,28.0,123.0,162.0,46.261054421768705,19.0
validation,2351,direct_mean,2369,Region,RegionC,0.0,5.0,28.0,122.0,162.0,46.261054421768705,3.0
validation,2351,direct_mean,2370,Region,RegionC,0.0,5.0,28.0,123.0,162.0,46.261054421768705,4.0
validation,2351,direct_mean,2371,Region,RegionC,0.0,5.0,28.0,123.0,162.0,46.261054421768705,192.0
validation,2351,direct_mean,2372,Region,RegionC,0.0,5.0,28.0,123.0,165.0,46.261054421768705,17.0
validation,2351,direct_mean,2373,Region,RegionC,0.0,5.0,27.0,122.0,162.0,46.261054421768705,9.0
validation,2351,direct_mean,2374,Region,RegionC,0.0,5.0,28.0,121.0,165.0,46.261054421768705,5.0
validation,2351,direct_mean,2375,Region,RegionC,0.0,5.0,27.0,122.0,162.0,46.261054421768705,12.0
validation,2351,direct_mean,2352,Region,RegionD,7.96999999999997,32.0,167.0,364.0,462.0,189.98171768707485,207.0
validation,2351,direct_mean,2353,Region,RegionD,9.0,33.0,172.0,365.0,472.0,189.98171768707485,260.0
validation,2351,direct_mean,2354,Region,RegionD,9.0,33.0,172.0,365.0,463.0,189.98171768707485,210.0
validation,2351,direct_mean,2355,Region,RegionD,7.0,35.0,171.0,364.0,467.0,189.98171768707485,174.0
validation,2351,direct_mean,2356,Region,RegionD,10.0,32.0,167.0,362.1900000000023,472.0,189.98171768707485,68.0
validation,2351,direct_mean,2357,Region,RegionD,9.0,35.0,173.0,366.0,466.0,189.98171768707485,90.0
validation,2351,direct_mean,2358,Region,RegionD,9.0,35.0,167.0,364.0,455.0599999999977,189.98171768707485,308.0
validation,2351,direct_mean,2359,Region,RegionD,10.0,34.0,169.0,365.0,460.0,189.98171768707485,202.0
validation,2351,direct_mean,2360,Region,RegionD,9.0,31.0,167.0,365.0,463.0,189.98171768707485,195.0
validation,2351,direct_mean,2361,Region,RegionD,9.0,32.0,169.0,365.0,466.0,189.98171768707485,165.0
validation,2351,direct_mean,2362,Region,RegionD,10.0,35.0,169.0,364.0,467.0,189.98171768707485,21.0
validation,2351,direct_mean,2363,Region,RegionD,10.0,35.0,168.0,367.0,467.0,189.98171768707485,49.0
validation,2351,direct_mean,2364,Region,RegionD,9.0,34.0,170.0,362.09500000000116,457.0,189.98171768707485,43.0
validation,2351,direct_mean,2365,Region,RegionD,10.0,35.0,170.0,366.0,468.0,189.98171768707485,143.0
validation,2351,direct_mean,2366,Region,RegionD,10.0,35.0,170.0,366.0,463.0,189.98171768707485,182.0
validation,2351,direct_mean,2367,Region,RegionD,10.0,35.90499999999997,171.0,367.0,472.0,189.98171768707485,236.0
validation,2351,direct_mean,2368,Region,RegionD,7.0,32.0,167.0,363.09500000000116,455.0,189.98171768707485,294.0
validation,2351,direct_mean,2369,Region,RegionD,10.0,32.0,170.0,365.0,460.0,189.98171768707485,111.0
validation,2351,direct_mean,2370,Region,RegionD,7.0,31.0,168.0,364.0,462.0,189.98171768707485,129.0
validation,2351,direct_mean,2371,Region,RegionD,10.0,35.0,172.0,372.0,468.0,189.98171768707485,244.0
validation,2351,direct_mean,2372,Region,RegionD,9.0,34.0,169.0,365.0,467.0,189.98171768707485,201.0
validation,2351,direct_mean,2373,Region,RegionD,10.0,32.0,167.0,365.0,467.0,189.98171768707485,220.0
validation,2351,direct_mean,2374,Region,RegionD,9.0,35.0,168.5,365.0,467.0,189.98171768707485,144.0
validation,2351,direct_mean,2375,Region,RegionD,9.0,34.0,166.0,362.0,467.0,189.98171768707485,41.0
validation,2351,direct_mean,2352,Region,RegionE,0.0,13.0,121.0,277.0,368.0,134.5595238095238,120.0
validation,2351,direct_mean,2353,Region,RegionE,0.0,12.0,120.0,276.0,364.0,134.5595238095238,43.0
validation,2351,direct_mean,2354,Region,RegionE,0.0,11.0,120.0,280.0,372.0,134.5595238095238,96.0
validation,2351,direct_mean,2355,Region,RegionE,0.0,12.0,122.0,281.0,370.0,134.5595238095238,0.0
validation,2351,direct_mean,2356,Region,RegionE,0.0,10.0,118.0,277.0,364.0,134.5595238095238,62.0
validation,2351,direct_mean,2357,Region,RegionE,0.0,12.0,120.0,278.0,372.0,134.5595238095238,131.0
validation,2351,direct_mean,2358,Region,RegionE,0.0,10.0,119.0,279.0,374.02999999999884,134.5595238095238,273.0
validation,2351,direct_mean,2359,Region,RegionE,0.0,12.0,118.0,277.0,364.0,134.5595238095238,193.0
validation,2351,direct_mean,2360,Region,RegionE,0.0,13.0,120.0,283.0,372.0,134.5595238095238,338.0
validation,2351,direct_mean,2361,Region,RegionE,0.0,12.0,121.0,277.0,367.0,134.5595238095238,357.0
validation,2351,direct_mean,2362,Region,RegionE,0.0,11.0,123.0,277.0,367.0,134.5595238095238,223.0
validation,2351,direct_mean,2363,Region,RegionE,0.0,11.0,121.0,276.09500000000116,361.0,134.5595238095238,23.0
validation,2351,direct_mean,2364,Region,RegionE,0.0,10.0,121.0,277.0,372.0,134.5595238095238,44.0
validation,2351,direct_mean,2365,Region,RegionE,0.0,10.0,119.0,276.0,363.0,134.5595238095238,0.0
validation,2351,direct_mean,2366,Region,RegionE,0.0,11.0,121.0,286.0,364.0,134.5595238095238,19.0
validation,2351,direct_mean,2367,Region,RegionE,0.0,10.0,120.0,279.0,364.0,134.5595238095238,128.0
validation,2351,direct_mean,2368,Region,RegionE,0.0,11.0,121.0,279.0,374.0,134.5595238095238,182.0
validation,2351,direct_mean,2369,Region,RegionE,0.0,11.0,120.0,277.0,367.02999999999884,134.5595238095238,296.0
validation,2351,direct_mean,2370,Region,RegionE,0.0,13.0,121.0,281.0,372.0,134.5595238095238,27.0
validation,2351,direct_mean,2371,Region,RegionE,0.0,11.0,120.0,277.0,367.0,134.5595238095238,69.0
validation,2351,direct_mean,2372,Region,RegionE,0.0,11.0,120.0,279.0,364.0899999999965,134.5595238095238,0.0
validation,2351,direct_mean,2373,Region,RegionE,0.0,10.0,120.0,279.0,364.0,134.5595238095238,60.0
validation,2351,direct_mean,2374,Region,RegionE,0.0,12.0,121.0,277.0,364.0,134.5595238095238,264.0
validation,2351,direct_mean,2375,Region,RegionE,0.0,11.0,121.0,281.0,368.0,134.5595238095238,62.0
validation,2351,direct_mean,2352,Region,RegionF,0.0,10.0,119.0,286.0,371.0,134.6122448979592,127.0
validation,2351,direct_mean,2353,Region,RegionF,0.0,12.0,117.0,282.0,368.0,134.6122448979592,138.0
validation,2351,direct_mean,2354,Region,RegionF,0.0,8.0,117.0,287.0,369.0,134.6122448979592,31.0
validation,2351,direct_mean,2355,Region,RegionF,0.0,9.0,116.0,284.0,369.0,134.6122448979592,220.0
validation,2351,direct_mean,2356,Region,RegionF,0.0,10.0,120.0,284.0,369.0,134.6122448979592,445.0
validation,2351,direct_mean,2357,Region,RegionF,0.0,10.0,117.0,286.0,377.0,134.6122448979592,45.0
validation,2351,direct_mean,2358,Region,RegionF,0.0,10.0,118.0,288.0,372.0,134.6122448979592,51.0
validation,2351,direct_mean,2359,Region,RegionF,0.0,11.0,119.0,284.0,371.02999999999884,134.6122448979592,330.0
validation,2351,direct_mean,2360,Region,RegionF,0.0,9.0,117.0,286.0,369.0,134.6122448979592,245.0
validation,2351,direct_mean,2361,Region,RegionF,0.0,10.0,119.0,286.0,369.0,134.6122448979592,148.0
validation,2351,direct_mean,2362,Region,RegionF,0.0,9.0,118.0,282.0,371.02999999999884,134.6122448979592,127.0
validation,2351,direct_mean,2363,Region,RegionF,0.0,8.0,117.0,280.0,369.0,134.6122448979592,118.0
validation,2351,direct_mean,2364,Region,RegionF,0.0,10.0,117.0,286.0,372.0,134.6122448979592,125.0
validation,2351,direct_mean,2365,Region,RegionF,0.0,11.0,119.0,284.0,373.0599999999977,134.6122448979592,126.0
validation,2351,direct_mean,2366,Region,RegionF,0.0,9.0,117.0,282.0,364.0,134.6122448979592,198.0
validation,2351,direct_mean,2367,Region,RegionF,0.0,10.0,119.0,284.0,369.0,134.6122448979592,196.0
validation,2351,direct_mean,2368,Region,RegionF,0.0,9.0,119.0,281.09500000000116,366.0,134.6122448979592,13.0
validation,2351,direct_mean,2369,Region,RegionF,0.0,10.0,121.0,284.0,371.0,134.6122448979592,334.0
validation,2351,direct_mean,2370,Region,RegionF,0.0,12.0,120.0,282.0,371.0,134.6122448979592,122.0
validation,2351,direct_mean,2371,Region,RegionF,0.0,10.0,117.0,284.0,371.0,134.6122448979592,158.0
validation,2351,direct_mean,2372,Region,RegionF,0.0,9.0,121.0,286.0,369.0,134.6122448979592,176.0
validation,2351,direct_mean,2373,Region,RegionF,0.0,9.0,119.0,284.0,365.02999999999884,134.6122448979592,172.0
validation,2351,direct_mean,2374,Region,RegionF,0.0,8.0,117.0,285.0,369.0,134.6122448979592,105.0
validation,2351,direct_mean,2375,Region,RegionF,0.0,12.0,120.0,284.0,368.0,134.6122448979592,8.0
validation,2351,direct_mean,2352,System,System,257.0,353.0,593.0,897.0,1042.0,613.108418367347,519.0
validation,2351,direct_mean,2353,System,System,262.0,356.0,593.0,903.0,1059.0,613.108418367347,535.0
validation,2351,direct_mean,2354,System,System,256.0,353.0,597.0,898.0950000000012,1036.0599999999977,613.108418367347,419.0
validation,2351,direct_mean,2355,System,System,256.0,356.0,593.0,906.0,1043.0,613.108418367347,535.0
validation,2351,direct_mean,2356,System,System,255.0,350.0,593.0,906.0,1040.0,613.108418367347,757.0
validation,2351,direct_mean,2357,System,System,260.0,355.0,593.0,907.0,1038.0,613.108418367347,410.0
validation,2351,direct_mean,2358,System,System,265.0,355.0,589.0,897.0,1038.0,613.108418367347,727.0
validation,2351,direct_mean,2359,System,System,262.0,350.0,593.0,894.0,1040.0,613.108418367347,828.0
validation,2351,direct_mean,2360,System,System,259.0,355.0,595.5,903.0,1042.0,613.108418367347,864.0
validation,2351,direct_mean,2361,System,System,268.0,356.0,593.0,900.0,1040.0,613.108418367347,973.0
validation,2351,direct_mean,2362,System,System,257.96999999999997,354.905,593.0,903.0,1040.0,613.108418367347,432.0
validation,2351,direct_mean,2363,System,System,260.0,354.0,593.0,898.0,1040.0,613.108418367347,313.0
validation,2351,direct_mean,2364,System,System,262.96999999999997,356.0,593.0,899.0,1031.0,613.108418367347,458.0
validation,2351,direct_mean,2365,System,System,270.0,356.0,593.0,890.0,1035.0299999999988,613.108418367347,397.0
validation,2351,direct_mean,2366,System,System,255.0,351.0,591.0,899.0,1038.0,613.108418367347,509.0
validation,2351,direct_mean,2367,System,System,259.0,353.0,593.0,906.0,1051.0,613.108418367347,663.0
validation,2351,direct_mean,2368,System,System,258.0,353.0,593.0,893.0,1036.0,613.108418367347,643.0
validation,2351,direct_mean,2369,System,System,262.0,355.905,593.5,898.0,1038.0,613.108418367347,887.0
validation,2351,direct_mean,2370,System,System,259.0,356.0,597.0,894.0,1042.0,613.108418367347,381.0
validation,2351,direct_mean,2371,System,System,265.0,353.0,593.0,907.0,1042.0,613.108418367347,726.0
validation,2351,direct_mean,2372,System,System,255.96999999999997,355.0,593.0,903.0,1042.0,613.108418367347,498.0
validation,2351,direct_mean,2373,System,System,259.0,353.0,591.0,898.0,1038.0,613.108418367347,506.0
validation,2351,direct_mean,2374,System,System,263.0,351.0,593.0,894.0,1038.0,613.108418367347,717.0
validation,2351,direct_mean,2375,System,System,259.0,351.0,593.0,895.0,1038.0,613.108418367347,437.0
test,2375,direct_mean,2376,Region,RegionA,4.0,9.0,37.0,135.0,178.0,54.89099326599327,14.0
test,2375,direct_mean,2377,Region,RegionA,3.0,9.0,37.0,135.0,181.0,54.89099326599327,55.0
test,2375,direct_mean,2378,Region,RegionA,4.0,9.0,36.0,135.0,180.0,54.89099326599327,8.0
test,2375,direct_mean,2379,Region,RegionA,3.0,9.0,36.0,132.0,178.0,54.89099326599327,43.0
test,2375,direct_mean,2380,Region,RegionA,4.0,9.0,36.0,134.0,178.0,54.89099326599327,122.0
test,2375,direct_mean,2381,Region,RegionA,3.0,8.0,36.0,133.0,181.0,54.89099326599327,50.0
test,2375,direct_mean,2382,Region,RegionA,4.0,9.0,37.0,133.0,181.0,54.89099326599327,20.0
test,2375,direct_mean,2383,Region,RegionA,4.0,9.0,36.0,135.0,180.0,54.89099326599327,42.0
test,2375,direct_mean,2384,Region,RegionA,3.0,9.0,36.0,135.0,178.05999999999767,54.89099326599327,12.0
test,2375,direct_mean,2385,Region,RegionA,4.0,9.0,36.0,133.0,181.0,54.89099326599327,5.0
test,2375,direct_mean,2386,Region,RegionA,4.0,9.0,36.5,135.0,181.0,54.89099326599327,21.0
test,2375,direct_mean,2387,Region,RegionA,3.9699999999999704,9.0,36.0,135.0,178.0,54.89099326599327,27.0
test,2375,direct_mean,2388,Region,RegionA,4.0,9.0,38.0,135.0,178.0,54.89099326599327,203.0
test,2375,direct_mean,2389,Region,RegionA,4.0,9.0,37.0,133.0,181.0,54.89099326599327,35.0
test,2375,direct_mean,2390,Region,RegionA,3.0,8.0,36.0,133.0,176.0,54.89099326599327,16.0
test,2375,direct_mean,2391,Region,RegionA,3.0,9.0,38.0,137.0,188.0,54.89099326599327,143.0
test,2375,direct_mean,2392,Region,RegionA,3.0,9.0,36.0,132.0,181.0,54.89099326599327,59.0
test,2375,direct_mean,2393,Region,RegionA,4.0,8.0,37.0,133.0,181.0,54.89099326599327,34.0
test,2375,direct_mean,2394,Region,RegionA,4.0,9.0,37.0,135.0,181.0,54.89099326599327,20.0
test,2375,direct_mean,2395,Region,RegionA,3.0,9.0,36.0,135.0,181.0,54.89099326599327,31.0
test,2375,direct_mean,2396,Region,RegionA,4.0,9.0,36.0,133.0,181.0,54.89099326599327,117.0
test,2375,direct_mean,2397,Region,RegionA,4.0,9.0,37.0,135.0,181.0,54.89099326599327,204.0
test,2375,direct_mean,2398,Region,RegionA,4.0,9.0,37.0,136.0,188.0,54.89099326599327,15.0
test,2375,direct_mean,2399,Region,RegionA,4.0,9.0,37.0,134.0,181.0,54.89099326599327,4.0
test,2375,direct_mean,2376,Region,RegionB,2.0,7.0,35.0,130.0,173.0,52.767255892255896,37.0
test,2375,direct_mean,2377,Region,RegionB,2.0,7.0,34.0,127.0,174.0,52.767255892255896,10.0
test,2375,direct_mean,2378,Region,RegionB,2.0,7.0,35.0,129.0,174.0,52.767255892255896,23.0
test,2375,direct_mean,2379,Region,RegionB,2.0,7.0,35.0,132.0,173.0,52.767255892255896,16.0
test,2375,direct_mean,2380,Region,RegionB,2.0,8.0,34.0,130.0,172.0,52.767255892255896,170.0
test,2375,direct_mean,2381,Region,RegionB,2.0,7.0,35.0,132.0,174.0,52.767255892255896,82.0
test,2375,direct_mean,2382,Region,RegionB,2.0,7.0,34.0,130.0,172.0,52.767255892255896,15.0
test,2375,direct_mean,2383,Region,RegionB,3.0,7.0,35.0,131.0,174.0,52.767255892255896,42.0
test,2375,direct_mean,2384,Region,RegionB,3.0,8.0,35.0,130.0,174.0,52.767255892255896,85.0
test,2375,direct_mean,2385,Region,RegionB,2.0,7.0,34.0,129.09500000000116,174.0,52.767255892255896,45.0
test,2375,direct_mean,2386,Region,RegionB,2.0,7.0,34.0,130.0,174.0,52.767255892255896,182.0
test,2375,direct_mean,2387,Region,RegionB,2.0,8.0,35.0,128.0,174.02999999999884,52.767255892255896,48.0
test,2375,direct_mean,2388,Region,RegionB,2.0,7.0,35.0,132.0,174.0,52.767255892255896,11.0
test,2375,direct_mean,2389,Region,RegionB,2.0,7.0,34.0,129.0,172.0,52.767255892255896,72.0
test,2375,direct_mean,2390,Region,RegionB,2.0,7.0,35.0,131.0,175.0,52.767255892255896,38.0
test,2375,direct_mean,2391,Region,RegionB,2.0,7.0,34.0,128.0,174.0,52.767255892255896,91.0
test,2375,direct_mean,2392,Region,RegionB,2.0,8.0,35.0,131.0,174.0,52.767255892255896,11.0
test,2375,direct_mean,2393,Region,RegionB,3.0,7.0,35.0,129.0,175.0,52.767255892255896,13.0
test,2375,direct_mean,2394,Region,RegionB,2.0,7.0,35.0,127.0,174.0,52.767255892255896,78.0
test,2375,direct_mean,2395,Region,RegionB,2.0,8.0,36.0,129.0,174.0,52.767255892255896,114.0
test,2375,direct_mean,2396,Region,RegionB,2.0,7.0,35.0,128.0,174.0,52.767255892255896,82.0
test,2375,direct_mean,2397,Region,RegionB,3.0,8.0,36.0,131.0,181.0,52.767255892255896,26.0
test,2375,direct_mean,2398,Region,RegionB,2.0,7.0,35.0,128.0,170.0,52.767255892255896,72.0
test,2375,direct_mean,2399,Region,RegionB,2.0,8.0,35.0,130.0,174.02999999999884,52.767255892255896,76.0
test,2375,direct_mean,2376,Region,RegionC,0.0,5.0,28.0,122.0,162.02999999999884,46.18476430976431,7.0
test,2375,direct_mean,2377,Region,RegionC,0.0,5.0,28.0,123.0,162.0,46.18476430976431,114.0
test,2375,direct_mean,2378,Region,RegionC,0.0,5.0,28.0,124.0,162.0,46.18476430976431,38.0
test,2375,direct_mean,2379,Region,RegionC,0.0,5.0,28.0,123.0,171.0,46.18476430976431,28.0
test,2375,direct_mean,2380,Region,RegionC,0.0,5.0,28.0,122.09500000000116,162.0,46.18476430976431,34.0
test,2375,direct_mean,2381,Region,RegionC,0.0,5.0,28.0,123.09500000000116,162.0,46.18476430976431,117.0
test,2375,direct_mean,2382,Region,RegionC,0.0,5.0,28.0,122.0,162.0,46.18476430976431,99.0
test,2375,direct_mean,2383,Region,RegionC,0.0,5.0,28.0,123.0,171.0,46.18476430976431,2.0
test,2375,direct_mean,2384,Region,RegionC,0.0,5.0,28.0,123.0,167.0,46.18476430976431,23.0
test,2375,direct_mean,2385,Region,RegionC,0.0,5.0,28.0,123.0,163.0,46.18476430976431,40.0
test,2375,direct_mean,2386,Region,RegionC,0.0,5.0,28.0,123.0,162.0,46.18476430976431,19.0
test,2375,direct_mean,2387,Region,RegionC,0.0,5.0,28.0,123.0,171.0,46.18476430976431,116.0
test,2375,direct_mean,2388,Region,RegionC,0.0,5.0,28.0,122.0,163.0,46.18476430976431,18.0
test,2375,direct_mean,2389,Region,RegionC,0.0,5.0,28.0,122.0,162.0,46.18476430976431,13.0
test,2375,direct_mean,2390,Region,RegionC,0.0,5.0,28.0,123.0,167.0,46.18476430976431,7.0
test,2375,direct_mean,2391,Region,RegionC,0.0,5.0,28.0,123.0,171.0,46.18476430976431,8.0
test,2375,direct_mean,2392,Region,RegionC,0.0,5.0,28.0,123.0,167.11999999999534,46.18476430976431,34.0
test,2375,direct_mean,2393,Region,RegionC,0.0,5.0,28.0,122.0,162.0,46.18476430976431,22.0
test,2375,direct_mean,2394,Region,RegionC,0.0,5.0,28.0,121.0,161.0,46.18476430976431,0.0
test,2375,direct_mean,2395,Region,RegionC,0.0,5.0,28.0,123.0,165.0,46.18476430976431,13.0
test,2375,direct_mean,2396,Region,RegionC,0.0,5.0,28.0,123.0,163.0,46.18476430976431,32.0
test,2375,direct_mean,2397,Region,RegionC,0.0,5.0,28.0,123.0,162.0,46.18476430976431,16.0
test,2375,direct_mean,2398,Region,RegionC,0.0,5.0,28.0,123.0,167.0,46.18476430976431,28.0
test,2375,direct_mean,2399,Region,RegionC,0.0,5.0,28.0,123.0,161.0,46.18476430976431,61.0
test,2375,direct_mean,2376,Region,RegionD,9.96999999999997,32.0,169.0,357.0,461.0,189.71969696969697,129.0
test,2375,direct_mean,2377,Region,RegionD,10.0,34.0,169.0,359.0,462.0,189.71969696969697,209.0
test,2375,direct_mean,2378,Region,RegionD,10.0,34.0,170.0,360.0,460.0,189.71969696969697,170.0
test,2375,direct_mean,2379,Region,RegionD,9.0,33.0,168.0,365.09500000000116,467.0,189.71969696969697,394.0
test,2375,direct_mean,2380,Region,RegionD,10.0,34.0,172.0,366.0,467.02999999999884,189.71969696969697,105.0
test,2375,direct_mean,2381,Region,RegionD,10.0,35.0,169.0,364.0,467.0,189.71969696969697,178.0
test,2375,direct_mean,2382,Region,RegionD,10.0,35.0,170.0,364.0,460.0,189.71969696969697,117.0
test,2375,direct_mean,2383,Region,RegionD,7.0,33.0,171.0,365.09500000000116,466.0,189.71969696969697,129.0
test,2375,direct_mean,2384,Region,RegionD,8.0,32.0,169.0,360.0,460.0,189.71969696969697,74.0
test,2375,direct_mean,2385,Region,RegionD,7.0,32.0,168.0,366.0,462.0,189.71969696969697,98.0
test,2375,direct_mean,2386,Region,RegionD,10.0,34.0,172.0,364.0,462.0,189.71969696969697,180.0
